resource_type,service,n_properties,n_property_types,n_required,required_properties,out_degree,in_degree
AWS::CodeStarConnections::SyncConfiguration,CodeStarConnections,8,0,6,ConfigFile|ResourceName|Branch|SyncType|RepositoryLinkId|RoleArn,8,0
AWS::CodeStarNotifications::NotificationRule,CodeStarNotifications,10,1,5,EventTypeIds|DetailType|Resource|Targets|Name,11,0
AWS::Cognito::IdentityPool,Cognito,12,3,1,AllowUnauthenticatedIdentities,15,0
AWS::Cognito::IdentityPoolPrincipalTag,Cognito,4,0,2,IdentityProviderName|IdentityPoolId,4,0
AWS::Cognito::IdentityPoolRoleAttachment,Cognito,3,3,1,IdentityPoolId,6,0
AWS::Cognito::LogDeliveryConfiguration,Cognito,2,4,1,UserPoolId,6,0
AWS::Cognito::ManagedLoginBranding,Cognito,6,1,1,UserPoolId,7,0
AWS::Cognito::Terms,Cognito,6,0,5,Enforcement|UserPoolId|TermsName|Links|TermsSource,6,0
AWS::Cognito::UserPool,Cognito,29,23,0,,52,0
AWS::Cognito::UserPoolClient,Cognito,23,3,1,UserPoolId,26,0
AWS::Cognito::UserPoolDomain,Cognito,4,1,2,UserPoolId|Domain,5,0
AWS::Cognito::UserPoolGroup,Cognito,5,0,1,UserPoolId,5,0
AWS::Cognito::UserPoolIdentityProvider,Cognito,6,0,4,ProviderName|UserPoolId|ProviderDetails|ProviderType,6,0
AWS::Cognito::UserPoolResourceServer,Cognito,4,1,3,UserPoolId|Identifier|Name,5,0
AWS::Cognito::UserPoolRiskConfigurationAttachment,Cognito,5,8,2,UserPoolId|ClientId,13,0
AWS::Cognito::UserPoolUICustomizationAttachment,Cognito,3,0,2,UserPoolId|ClientId,3,0
AWS::Cognito::UserPoolUser,Cognito,8,1,1,UserPoolId,9,0
AWS::Cognito::UserPoolUserToGroupAttachment,Cognito,3,0,3,GroupName|UserPoolId|Username,3,0
AWS::Comprehend::DocumentClassifier,Comprehend,12,6,4,LanguageCode|DataAccessRoleArn|DocumentClassifierName|InputDataConfig,18,0
AWS::Comprehend::Flywheel,Comprehend,8,6,3,DataLakeS3Uri|DataAccessRoleArn|FlywheelName,14,0
AWS::ComputeOptimizer::AutomationRule,ComputeOptimizer,10,7,5,Status|RecommendedActionTypes|Schedule|RuleType|Name,17,0
AWS::Config::AggregationAuthorization,Config,3,0,2,AuthorizedAccountId|AuthorizedAwsRegion,3,0
AWS::Config::ConfigRule,Config,8,6,1,Source,14,0
AWS::Config::ConfigurationAggregator,Config,4,2,0,,6,0
AWS::Config::ConfigurationRecorder,Config,4,5,1,RoleARN,9,0
AWS::Config::ConformancePack,Config,7,2,1,ConformancePackName,9,0
AWS::Config::DeliveryChannel,Config,6,1,1,S3BucketName,7,0
AWS::Config::OrganizationConfigRule,Config,5,3,1,OrganizationConfigRuleName,8,0
AWS::Config::OrganizationConformancePack,Config,7,1,1,OrganizationConformancePackName,8,0
AWS::Config::RemediationConfiguration,Config,10,5,3,TargetType|ConfigRuleName|TargetId,15,0
AWS::Config::StoredQuery,Config,4,0,2,QueryExpression|QueryName,4,0
AWS::Connect::AgentStatus,Connect,8,0,3,State|InstanceArn|Name,8,0
AWS::Connect::ApprovedOrigin,Connect,2,0,2,Origin|InstanceId,2,0
AWS::Connect::ContactFlow,Connect,7,0,4,Type|Content|InstanceArn|Name,7,0
AWS::Connect::ContactFlowModule,Connect,8,1,3,Content|InstanceArn|Name,9,0
AWS::Connect::ContactFlowModuleAlias,Connect,4,0,3,ContactFlowModuleId|ContactFlowModuleVersion|Name,4,0
AWS::Connect::ContactFlowModuleVersion,Connect,2,0,1,ContactFlowModuleId,2,0
AWS::Connect::ContactFlowVersion,Connect,2,0,1,ContactFlowId,2,0
AWS::Connect::DataTable,Connect,7,1,0,,8,0
AWS::Connect::DataTableAttribute,Connect,7,3,0,,10,0
AWS::Connect::DataTableRecord,Connect,3,2,0,,5,0
AWS::Connect::EmailAddress,Connect,6,1,2,InstanceArn|EmailAddress,7,0
AWS::Connect::EvaluationForm,Connect,11,36,4,Status|InstanceArn|Title|Items,47,0
AWS::Connect::HoursOfOperation,Connect,9,8,4,TimeZone|Config|InstanceArn|Name,17,0
AWS::Connect::Instance,Connect,5,1,2,IdentityManagementType|Attributes,6,0
AWS::Connect::InstanceStorageConfig,Connect,7,5,3,StorageType|InstanceArn|ResourceType,12,0
AWS::Connect::IntegrationAssociation,Connect,3,0,3,IntegrationArn|InstanceId|IntegrationType,3,0
AWS::Connect::Notification,Connect,6,1,2,Content|InstanceArn,7,0
AWS::Connect::PhoneNumber,Connect,7,0,1,TargetArn,7,0
AWS::Connect::PredefinedAttribute,Connect,5,2,2,InstanceArn|Name,7,0
AWS::Connect::Prompt,Connect,5,0,2,InstanceArn|Name,5,0
AWS::Connect::Queue,Connect,11,3,3,HoursOfOperationArn|InstanceArn|Name,14,0
AWS::Connect::QuickConnect,Connect,5,4,3,QuickConnectConfig|InstanceArn|Name,9,0
AWS::Connect::RoutingProfile,Connect,9,5,5,Description|MediaConcurrencies|InstanceArn|DefaultOutboundQueueArn|Name,14,0
AWS::Connect::Rule,Connect,7,12,6,Function|TriggerEventSource|Actions|InstanceArn|Name|PublishStatus,19,0
AWS::Connect::SecurityKey,Connect,2,0,2,InstanceId|Key,2,0
AWS::Connect::SecurityProfile,Connect,12,6,2,InstanceArn|SecurityProfileName,18,0
AWS::Connect::TaskTemplate,Connect,11,7,1,InstanceArn,18,0
AWS::Connect::TrafficDistributionGroup,Connect,4,0,2,InstanceArn|Name,4,0
AWS::Connect::User,Connect,16,9,4,RoutingProfileArn|Username|InstanceArn|SecurityProfileArns,25,0
AWS::Connect::UserHierarchyGroup,Connect,4,0,2,InstanceArn|Name,4,0
AWS::Connect::UserHierarchyStructure,Connect,2,6,1,InstanceArn,8,0
AWS::Connect::View,Connect,6,0,4,Actions|InstanceArn|Name|Template,6,0
AWS::Connect::ViewVersion,Connect,3,0,1,ViewArn,3,0
AWS::Connect::Workspace,Connect,10,11,2,InstanceArn|Name,21,0
AWS::ConnectCampaigns::Campaign,ConnectCampaigns,5,6,4,OutboundCallConfig|ConnectInstanceArn|DialerConfig|Name,11,0
AWS::ConnectCampaignsV2::Campaign,ConnectCampaignsV2,10,32,2,ConnectInstanceId|Name,42,0
AWS::ControlTower::EnabledBaseline,ControlTower,5,1,3,BaselineVersion|BaselineIdentifier|TargetIdentifier,6,0
AWS::ControlTower::EnabledControl,ControlTower,4,1,2,ControlIdentifier|TargetIdentifier,5,0
AWS::ControlTower::LandingZone,ControlTower,4,0,2,Version|Manifest,4,0
AWS::CustomerProfiles::CalculatedAttributeDefinition,CustomerProfiles,9,7,4,AttributeDetails|Statistic|DomainName|CalculatedAttributeName,16,0
AWS::CustomerProfiles::Domain,CustomerProfiles,8,13,2,DefaultExpirationDays|DomainName,21,0
AWS::CustomerProfiles::EventStream,CustomerProfiles,4,1,3,DomainName|EventStreamName|Uri,5,0
AWS::CustomerProfiles::EventTrigger,CustomerProfiles,8,5,4,DomainName|ObjectTypeName|EventTriggerConditions|EventTriggerName,13,0
AWS::CustomerProfiles::Integration,CustomerProfiles,8,16,1,DomainName,24,0
AWS::CustomerProfiles::ObjectType,CustomerProfiles,13,4,3,Description|DomainName|ObjectTypeName,17,0
AWS::CustomerProfiles::Recommender,CustomerProfiles,6,6,3,RecommenderName|RecommenderRecipeName|DomainName,12,0
AWS::CustomerProfiles::SegmentDefinition,CustomerProfiles,8,16,3,DomainName|DisplayName|SegmentDefinitionName,24,0
AWS::DAX::Cluster,DAX,15,1,3,ReplicationFactor|IAMRoleARN|NodeType,16,0
AWS::DAX::ParameterGroup,DAX,3,0,0,,3,0
AWS::DAX::SubnetGroup,DAX,3,0,1,SubnetIds,3,0
AWS::DLM::LifecyclePolicy,DLM,12,26,0,,38,0
AWS::DMS::Certificate,DMS,3,0,0,,3,0
AWS::DMS::DataMigration,DMS,8,2,3,DataMigrationType|MigrationProjectIdentifier|ServiceAccessRoleArn,10,0
AWS::DMS::DataProvider,DMS,7,12,1,Engine,19,0
AWS::DMS::Endpoint,DMS,31,17,2,EndpointType|EngineName,48,0
AWS::DMS::EventSubscription,DMS,7,0,1,SnsTopicArn,7,0
AWS::DMS::InstanceProfile,DMS,10,0,0,,10,0
AWS::DMS::MigrationProject,DMS,11,2,0,,13,0
AWS::DMS::ReplicationConfig,DMS,10,1,6,ReplicationConfigIdentifier|ComputeConfig|ReplicationType|TableMappings|SourceEndpointArn|TargetEndpointArn,11,0
AWS::DMS::ReplicationInstance,DMS,17,0,1,ReplicationInstanceClass,17,0
AWS::DMS::ReplicationSubnetGroup,DMS,4,0,2,ReplicationSubnetGroupDescription|SubnetIds,4,0
AWS::DMS::ReplicationTask,DMS,13,0,5,MigrationType|TargetEndpointArn|ReplicationInstanceArn|TableMappings|SourceEndpointArn,13,0
AWS::DSQL::Cluster,DSQL,5,2,0,,7,0
AWS::DataBrew::Dataset,DataBrew,7,16,2,Input|Name,23,0
AWS::DataBrew::Job,DataBrew,20,19,3,RoleArn|Name|Type,39,0
AWS::DataBrew::Project,DataBrew,6,1,4,RecipeName|DatasetName|RoleArn|Name,7,0
AWS::DataBrew::Recipe,DataBrew,4,8,2,Steps|Name,12,0
AWS::DataBrew::Ruleset,DataBrew,5,4,3,TargetArn|Rules|Name,9,0
AWS::DataBrew::Schedule,DataBrew,4,0,2,CronExpression|Name,4,0
AWS::DataPipeline::Pipeline,DataPipeline,7,6,1,Name,13,0
AWS::DataSync::Agent,DataSync,6,0,0,,6,0
AWS::DataSync::LocationAzureBlob,DataSync,10,4,1,AzureBlobAuthenticationType,14,0
AWS::DataSync::LocationEFS,DataSync,7,1,1,Ec2Config,8,0
AWS::DataSync::LocationFSxLustre,DataSync,4,0,1,SecurityGroupArns,4,0
AWS::DataSync::LocationFSxONTAP,DataSync,5,8,2,StorageVirtualMachineArn|SecurityGroupArns,13,0
AWS::DataSync::LocationFSxOpenZFS,DataSync,5,3,2,Protocol|SecurityGroupArns,8,0
AWS::DataSync::LocationFSxWindows,DataSync,9,3,2,User|SecurityGroupArns,12,0
AWS::DataSync::LocationHDFS,DataSync,15,5,3,NameNodes|AgentArns|AuthenticationType,20,0
AWS::DataSync::LocationNFS,DataSync,5,2,1,OnPremConfig,7,0
AWS::DataSync::LocationObjectStorage,DataSync,12,3,0,,15,0
AWS::DataSync::LocationS3,DataSync,5,1,1,S3Config,6,0
AWS::DataSync::LocationSMB,DataSync,15,4,1,AgentArns,19,0
AWS::DataSync::Task,DataSync,12,14,2,DestinationLocationArn|SourceLocationArn,26,0
AWS::DataZone::Connection,DataZone,9,27,2,Name|DomainIdentifier,36,0
AWS::DataZone::DataSource,DataZone,13,13,4,ProjectIdentifier|Name|Type|DomainIdentifier,26,0
AWS::DataZone::Domain,DataZone,8,1,2,DomainExecutionRole|Name,9,0
AWS::DataZone::DomainUnit,DataZone,4,0,3,ParentDomainUnitIdentifier|DomainIdentifier|Name,4,0
AWS::DataZone::Environment,DataZone,13,1,3,ProjectIdentifier|Name|DomainIdentifier,14,0
AWS::DataZone::EnvironmentActions,DataZone,6,1,1,Name,7,0
AWS::DataZone::EnvironmentBlueprintConfiguration,DataZone,9,3,3,EnabledRegions|EnvironmentBlueprintIdentifier|DomainIdentifier,12,0
AWS::DataZone::EnvironmentProfile,DataZone,8,1,6,ProjectIdentifier|AwsAccountRegion|AwsAccountId|EnvironmentBlueprintIdentifier|Name|DomainIdentifier,9,0
AWS::DataZone::FormType,DataZone,6,1,4,Model|OwningProjectIdentifier|DomainIdentifier|Name,7,0
AWS::DataZone::GroupProfile,DataZone,3,0,2,DomainIdentifier|GroupIdentifier,3,0
AWS::DataZone::Owner,DataZone,4,3,4,EntityType|Owner|EntityIdentifier|DomainIdentifier,7,0
AWS::DataZone::PolicyGrant,DataZone,6,19,4,EntityType|PolicyType|EntityIdentifier|DomainIdentifier,25,0
AWS::DataZone::Project,DataZone,9,3,2,Name|DomainIdentifier,12,0
AWS::DataZone::ProjectMembership,DataZone,4,1,4,ProjectIdentifier|Designation|Member|DomainIdentifier,5,0
AWS::DataZone::ProjectProfile,DataZone,10,6,1,Name,16,0
AWS::DataZone::SubscriptionTarget,DataZone,9,1,7,Type|EnvironmentIdentifier|SubscriptionTargetConfig|ApplicableAssetTypes|AuthorizedPrincipals|Name|DomainIdentifier,10,0
AWS::DataZone::UserProfile,DataZone,4,3,2,UserIdentifier|DomainIdentifier,7,0
AWS::Deadline::Farm,Deadline,5,0,1,DisplayName,5,0
AWS::Deadline::Fleet,Deadline,9,20,5,Configuration|MaxWorkerCount|DisplayName|FarmId|RoleArn,29,0
AWS::Deadline::LicenseEndpoint,Deadline,4,0,3,VpcId|SecurityGroupIds|SubnetIds,4,0
AWS::Deadline::Limit,Deadline,5,0,4,AmountRequirementName|DisplayName|MaxCount|FarmId,5,0
AWS::Deadline::MeteredProduct,Deadline,2,0,0,,2,0
AWS::Deadline::Monitor,Deadline,5,0,4,IdentityCenterInstanceArn|Subdomain|DisplayName|RoleArn,5,0
AWS::Deadline::Queue,Deadline,10,4,2,DisplayName|FarmId,14,0
AWS::Deadline::QueueEnvironment,Deadline,5,0,5,Priority|QueueId|TemplateType|FarmId|Template,5,0
AWS::Deadline::QueueFleetAssociation,Deadline,3,0,3,FleetId|QueueId|FarmId,3,0
AWS::Deadline::QueueLimitAssociation,Deadline,3,0,3,LimitId|QueueId|FarmId,3,0
AWS::Deadline::StorageProfile,Deadline,4,1,3,DisplayName|FarmId|OsFamily,5,0
AWS::Detective::Graph,Detective,2,0,0,,2,0
AWS::Detective::MemberInvitation,Detective,5,0,3,MemberId|GraphArn|MemberEmailAddress,5,0
AWS::Detective::OrganizationAdmin,Detective,1,0,1,AccountId,1,0
AWS::DevOpsAgent::AgentSpace,DevOpsAgent,5,3,1,Name,8,0
AWS::DevOpsAgent::Association,DevOpsAgent,4,17,3,Configuration|AgentSpaceId|ServiceId,21,0
AWS::DevOpsAgent::Service,DevOpsAgent,4,23,1,ServiceType,27,0
AWS::DevOpsGuru::LogAnomalyDetectionIntegration,DevOpsGuru,0,0,0,,0,0
AWS::DevOpsGuru::NotificationChannel,DevOpsGuru,1,3,1,Config,4,0
AWS::DevOpsGuru::ResourceCollection,DevOpsGuru,1,3,1,ResourceCollectionFilter,4,0
AWS::DirectConnect::Connection,DirectConnect,7,0,3,ConnectionName|Bandwidth|Location,7,0
AWS::DirectConnect::DirectConnectGateway,DirectConnect,3,0,1,DirectConnectGatewayName,3,0
AWS::DirectConnect::DirectConnectGatewayAssociation,DirectConnect,4,0,2,DirectConnectGatewayId|AssociatedGatewayId,4,0
AWS::DirectConnect::Lag,DirectConnect,7,0,3,ConnectionsBandwidth|LagName|Location,7,0
AWS::DirectConnect::PrivateVirtualInterface,DirectConnect,10,1,4,BgpPeers|ConnectionId|VirtualInterfaceName|Vlan,11,0
AWS::DirectConnect::PublicVirtualInterface,DirectConnect,7,1,4,BgpPeers|ConnectionId|VirtualInterfaceName|Vlan,8,0
AWS::DirectConnect::TransitVirtualInterface,DirectConnect,9,1,5,BgpPeers|ConnectionId|DirectConnectGatewayId|VirtualInterfaceName|Vlan,10,0
AWS::DirectoryService::MicrosoftAD,DirectoryService,7,1,3,Name|Password|VpcSettings,8,0
AWS::DirectoryService::SimpleAD,DirectoryService,9,1,3,VpcSettings|Size|Name,10,0
AWS::DocDB::DBCluster,DocDB,30,1,0,,31,0
AWS::DocDB::DBClusterParameterGroup,DocDB,5,0,3,Description|Parameters|Family,5,0
AWS::DocDB::DBInstance,DocDB,10,0,2,DBInstanceClass|DBClusterIdentifier,10,0
AWS::DocDB::DBSubnetGroup,DocDB,4,0,2,DBSubnetGroupDescription|SubnetIds,4,0
AWS::DocDB::EventSubscription,DocDB,6,0,1,SnsTopicArn,6,0
AWS::DocDB::GlobalCluster,DocDB,7,0,1,GlobalClusterIdentifier,7,0
AWS::DocDBElastic::Cluster,DocDBElastic,14,0,5,AdminUserName|ShardCount|ShardCapacity|ClusterName|AuthType,14,0
AWS::DynamoDB::GlobalTable,DynamoDB,18,25,1,Replicas,43,0
AWS::DynamoDB::Table,DynamoDB,20,19,1,KeySchema,39,0
AWS::EC2::CapacityManagerDataExport,EC2,5,0,3,Schedule|OutputFormat|S3BucketName,5,0
AWS::EC2::CapacityReservation,EC2,15,3,3,InstanceCount|InstancePlatform|InstanceType,18,0
AWS::EC2::CapacityReservationFleet,EC2,9,2,0,,11,0
AWS::EC2::CarrierGateway,EC2,2,0,1,VpcId,2,0
AWS::EC2::ClientVpnAuthorizationRule,EC2,5,0,2,ClientVpnEndpointId|TargetNetworkCidr,5,0
AWS::EC2::ClientVpnEndpoint,EC2,20,9,3,AuthenticationOptions|ServerCertificateArn|ConnectionLogOptions,29,0
AWS::EC2::ClientVpnRoute,EC2,4,0,3,ClientVpnEndpointId|TargetVpcSubnetId|DestinationCidrBlock,4,0
AWS::EC2::ClientVpnTargetNetworkAssociation,EC2,2,0,2,ClientVpnEndpointId|SubnetId,2,0
AWS::EC2::CustomerGateway,EC2,7,0,2,Type|IpAddress,7,0
AWS::EC2::DHCPOptions,EC2,7,0,0,,7,0
AWS::EC2::EC2Fleet,EC2,13,27,2,TargetCapacitySpecification|LaunchTemplateConfigs,40,0
AWS::EC2::EIP,EC2,8,0,0,,8,0
AWS::EC2::EIPAssociation,EC2,4,0,0,,4,0
AWS::EC2::EgressOnlyInternetGateway,EC2,2,0,1,VpcId,2,0
AWS::EC2::EnclaveCertificateIamRoleAssociation,EC2,2,0,2,RoleArn|CertificateArn,2,0
AWS::EC2::FlowLog,EC2,12,1,2,ResourceId|ResourceType,13,0
AWS::EC2::GatewayRouteTableAssociation,EC2,2,0,2,RouteTableId|GatewayId,2,0
AWS::EC2::Host,EC2,9,0,1,AvailabilityZone,9,0
AWS::EC2::IPAM,EC2,7,2,0,,9,0
AWS::EC2::IPAMAllocation,EC2,4,0,1,IpamPoolId,4,0
AWS::EC2::IPAMPool,EC2,16,2,2,IpamScopeId|AddressFamily,18,0
AWS::EC2::IPAMPoolCidr,EC2,3,0,1,IpamPoolId,3,0
AWS::EC2::IPAMPrefixListResolver,EC2,5,2,1,AddressFamily,7,0
AWS::EC2::IPAMPrefixListResolverTarget,EC2,6,0,4,PrefixListRegion|PrefixListId|IpamPrefixListResolverId|TrackLatestVersion,6,0
AWS::EC2::IPAMResourceDiscovery,EC2,4,2,0,,6,0
AWS::EC2::IPAMResourceDiscoveryAssociation,EC2,3,0,2,IpamId|IpamResourceDiscoveryId,3,0
AWS::EC2::IPAMScope,EC2,4,1,1,IpamId,5,0
AWS::EC2::Instance,EC2,41,21,0,,62,0
AWS::EC2::InstanceConnectEndpoint,EC2,5,2,1,SubnetId,7,0
AWS::EC2::InternetGateway,EC2,1,0,0,,1,0
AWS::EC2::IpPoolRouteTableAssociation,EC2,2,0,2,RouteTableId|PublicIpv4Pool,2,0
AWS::EC2::KeyPair,EC2,5,0,1,KeyName,5,0
AWS::EC2::LaunchTemplate,EC2,4,42,1,LaunchTemplateData,46,0
AWS::EC2::LocalGatewayRoute,EC2,4,0,2,LocalGatewayRouteTableId|DestinationCidrBlock,4,0
AWS::EC2::LocalGatewayRouteTable,EC2,3,0,1,LocalGatewayId,3,0
AWS::EC2::LocalGatewayRouteTableVPCAssociation,EC2,3,0,2,VpcId|LocalGatewayRouteTableId,3,0
AWS::EC2::LocalGatewayRouteTableVirtualInterfaceGroupAssociation,EC2,3,0,2,LocalGatewayRouteTableId|LocalGatewayVirtualInterfaceGroupId,3,0
AWS::EC2::LocalGatewayVirtualInterface,EC2,8,0,5,OutpostLagId|LocalAddress|PeerAddress|Vlan|LocalGatewayVirtualInterfaceGroupId,8,0
AWS::EC2::LocalGatewayVirtualInterfaceGroup,EC2,4,0,1,LocalGatewayId,4,0
AWS::EC2::NatGateway,EC2,12,1,0,,13,0
AWS::EC2::NetworkAcl,EC2,2,0,1,VpcId,2,0
AWS::EC2::NetworkAclEntry,EC2,9,2,4,NetworkAclId|RuleAction|RuleNumber|Protocol,11,0
AWS::EC2::NetworkInsightsAccessScope,EC2,3,5,0,,8,0
AWS::EC2::NetworkInsightsAccessScopeAnalysis,EC2,2,0,1,NetworkInsightsAccessScopeId,2,0
AWS::EC2::NetworkInsightsAnalysis,EC2,5,13,1,NetworkInsightsPathId,18,0
AWS::EC2::NetworkInsightsPath,EC2,9,2,2,Protocol|Source,11,0
AWS::EC2::NetworkInterface,EC2,17,6,1,SubnetId,23,0
AWS::EC2::NetworkInterfaceAttachment,EC2,6,2,3,InstanceId|DeviceIndex|NetworkInterfaceId,8,0
AWS::EC2::NetworkInterfacePermission,EC2,3,0,3,AwsAccountId|NetworkInterfaceId|Permission,3,0
AWS::EC2::NetworkPerformanceMetricSubscription,EC2,4,0,4,Destination|Statistic|Metric|Source,4,0
AWS::EC2::PlacementGroup,EC2,4,0,0,,4,0
AWS::EC2::PrefixList,EC2,5,1,2,PrefixListName|AddressFamily,6,0
AWS::EC2::Route,EC2,15,0,1,RouteTableId,15,0
AWS::EC2::RouteServer,EC2,5,0,1,AmazonSideAsn,5,0
AWS::EC2::RouteServerAssociation,EC2,2,0,2,VpcId|RouteServerId,2,0
AWS::EC2::RouteServerEndpoint,EC2,3,0,2,SubnetId|RouteServerId,3,0
AWS::EC2::RouteServerPeer,EC2,4,1,3,PeerAddress|BgpOptions|RouteServerEndpointId,5,0
AWS::EC2::RouteServerPropagation,EC2,2,0,2,RouteTableId|RouteServerId,2,0
AWS::EC2::RouteTable,EC2,2,0,1,VpcId,2,0
AWS::EC2::SecurityGroup,EC2,6,2,1,GroupDescription,8,0
AWS::EC2::SecurityGroupEgress,EC2,9,0,2,IpProtocol|GroupId,9,0
AWS::EC2::SecurityGroupIngress,EC2,12,0,1,IpProtocol,12,0
AWS::EC2::SecurityGroupVpcAssociation,EC2,2,0,2,VpcId|GroupId,2,0
AWS::EC2::SnapshotBlockPublicAccess,EC2,1,0,1,State,1,0
AWS::EC2::SpotFleet,EC2,2,35,1,SpotFleetRequestConfigData,37,0
AWS::EC2::SqlHaStandbyDetectedInstance,EC2,2,0,1,InstanceId,2,0
AWS::EC2::Subnet,EC2,17,2,1,VpcId,19,0
AWS::EC2::SubnetCidrBlock,EC2,4,0,1,SubnetId,4,0
AWS::EC2::SubnetNetworkAclAssociation,EC2,2,0,2,NetworkAclId|SubnetId,2,0
AWS::EC2::SubnetRouteTableAssociation,EC2,2,0,2,RouteTableId|SubnetId,2,0
AWS::EC2::TrafficMirrorFilter,EC2,3,0,0,,3,0
AWS::EC2::TrafficMirrorFilterRule,EC2,11,1,6,RuleAction|SourceCidrBlock|RuleNumber|DestinationCidrBlock|TrafficMirrorFilterId|TrafficDirection,12,0
AWS::EC2::TrafficMirrorSession,EC2,9,0,4,TrafficMirrorTargetId|SessionNumber|NetworkInterfaceId|TrafficMirrorFilterId,9,0
AWS::EC2::TrafficMirrorTarget,EC2,5,0,0,,5,0
AWS::EC2::TransitGateway,EC2,14,0,0,,14,0
AWS::EC2::TransitGatewayAttachment,EC2,5,1,3,TransitGatewayId|VpcId|SubnetIds,6,0
AWS::EC2::TransitGatewayConnect,EC2,3,1,2,Options|TransportTransitGatewayAttachmentId,4,0
AWS::EC2::TransitGatewayConnectPeer,EC2,3,2,2,ConnectPeerConfiguration|TransitGatewayAttachmentId,5,0
AWS::EC2::TransitGatewayMeteringPolicy,EC2,3,0,1,TransitGatewayId,3,0
AWS::EC2::TransitGatewayMeteringPolicyEntry,EC2,12,0,3,MeteredAccount|PolicyRuleNumber|TransitGatewayMeteringPolicyId,12,0
AWS::EC2::TransitGatewayMulticastDomain,EC2,3,1,1,TransitGatewayId,4,0
AWS::EC2::TransitGatewayMulticastDomainAssociation,EC2,3,0,3,TransitGatewayMulticastDomainId|SubnetId|TransitGatewayAttachmentId,3,0
AWS::EC2::TransitGatewayMulticastGroupMember,EC2,3,0,3,TransitGatewayMulticastDomainId|NetworkInterfaceId|GroupIpAddress,3,0
AWS::EC2::TransitGatewayMulticastGroupSource,EC2,3,0,3,TransitGatewayMulticastDomainId|NetworkInterfaceId|GroupIpAddress,3,0
AWS::EC2::TransitGatewayPeeringAttachment,EC2,5,1,4,TransitGatewayId|PeerTransitGatewayId|PeerAccountId|PeerRegion,6,0
AWS::EC2::TransitGatewayRoute,EC2,4,0,2,TransitGatewayRouteTableId|DestinationCidrBlock,4,0
AWS::EC2::TransitGatewayRouteTable,EC2,2,0,1,TransitGatewayId,2,0
AWS::EC2::TransitGatewayRouteTableAssociation,EC2,2,0,2,TransitGatewayRouteTableId|TransitGatewayAttachmentId,2,0
AWS::EC2::TransitGatewayRouteTablePropagation,EC2,2,0,2,TransitGatewayRouteTableId|TransitGatewayAttachmentId,2,0
AWS::EC2::TransitGatewayVpcAttachment,EC2,7,1,3,TransitGatewayId|VpcId|SubnetIds,8,0
AWS::EC2::VPC,EC2,7,0,0,,7,0
AWS::EC2::VPCBlockPublicAccessExclusion,EC2,4,0,1,InternetGatewayExclusionMode,4,0
AWS::EC2::VPCBlockPublicAccessOptions,EC2,1,0,1,InternetGatewayBlockMode,1,0
AWS::EC2::VPCCidrBlock,EC2,10,0,1,VpcId,10,0
AWS::EC2::VPCDHCPOptionsAssociation,EC2,2,0,2,VpcId|DhcpOptionsId,2,0
AWS::EC2::VPCEncryptionControl,EC2,11,2,0,,13,0
AWS::EC2::VPCEndpoint,EC2,14,1,1,VpcId,15,0
AWS::EC2::VPCEndpointConnectionNotification,EC2,4,0,2,ConnectionEvents|ConnectionNotificationArn,4,0
AWS::EC2::VPCEndpointService,EC2,8,0,0,,8,0
AWS::EC2::VPCEndpointServicePermissions,EC2,2,0,1,ServiceId,2,0
AWS::EC2::VPCGatewayAttachment,EC2,3,0,1,VpcId,3,0
AWS::EC2::VPCPeeringConnection,EC2,7,0,2,VpcId|PeerVpcId,7,0
AWS::EC2::VPNConcentrator,EC2,3,0,2,TransitGatewayId|Type,3,0
AWS::EC2::VPNConnection,EC2,18,10,2,CustomerGatewayId|Type,28,0
AWS::EC2::VPNConnectionRoute,EC2,2,0,2,DestinationCidrBlock|VpnConnectionId,2,0
AWS::EC2::VPNGateway,EC2,3,0,1,Type,3,0
AWS::EC2::VPNGatewayRoutePropagation,EC2,2,0,2,RouteTableIds|VpnGatewayId,2,0
AWS::EC2::VerifiedAccessEndpoint,EC2,16,6,3,AttachmentType|VerifiedAccessGroupId|EndpointType,22,0
AWS::EC2::VerifiedAccessGroup,EC2,6,1,1,VerifiedAccessInstanceId,7,0
AWS::EC2::VerifiedAccessInstance,EC2,7,5,0,,12,0
AWS::EC2::VerifiedAccessTrustProvider,EC2,10,4,2,PolicyReferenceName|TrustProviderType,14,0
AWS::EC2::Volume,EC2,15,0,0,,15,0
AWS::EC2::VolumeAttachment,EC2,4,0,2,VolumeId|InstanceId,4,0
AWS::ECR::PublicRepository,ECR,4,1,0,,5,0
AWS::ECR::PullThroughCacheRule,ECR,6,0,0,,6,0
AWS::ECR::PullTimeUpdateExclusion,ECR,1,0,1,PrincipalArn,1,0
AWS::ECR::RegistryPolicy,ECR,1,0,1,PolicyText,1,0
AWS::ECR::RegistryScanningConfiguration,ECR,2,2,2,ScanType|Rules,4,0
AWS::ECR::ReplicationConfiguration,ECR,1,4,1,ReplicationConfiguration,5,0
AWS::ECR::Repository,ECR,9,4,0,,13,0
AWS::ECR::RepositoryCreationTemplate,ECR,10,2,2,AppliedFor|Prefix,12,0
AWS::ECR::SigningConfiguration,ECR,1,2,1,Rules,3,0
AWS::ECS::CapacityProvider,ECS,5,19,0,,24,0
AWS::ECS::Cluster,ECS,7,7,0,,14,0
AWS::ECS::ClusterCapacityProviderAssociations,ECS,3,1,2,DefaultCapacityProviderStrategy|Cluster,4,0
