Error Message,Count,Percentage,claude-3-5,claude-3-7,deepseek-r1,deepseek-s3,gpt-4o,o3-mini,deployment,syntax_validation,yaml_validation
Parameter S3BucketName not used.,3,0.03,0,1,0,0,2,0,0,3,0
"['subnet-12345678', 'subnet-87654321'] is not of type 'string'",3,0.03,0,0,0,0,3,0,0,3,0
Circular Dependencies for resource LambdaInvokePermission. Circular dependency with [S3Bucket],3,0.03,0,0,0,0,1,2,0,3,0
Resource type 'AWS::ApiGatewayV2::Connection' does not exist in 'us-east-1',3,0.03,0,0,0,3,0,0,0,3,0
'LambdaFunction' dependency already enforced by a 'GetAtt' at 'Resources/SecurityHubControlsCustomResource/Properties/ServiceToken',3,0.03,0,0,0,3,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [FirehoseStreamName, LogStreamName, LogGroupName, S3BucketName] must have values",3,0.03,0,0,0,0,3,0,3,0,0
"{'Fn::Equals': [{'Ref': 'BucketName'}, '']} is not of type 'string'",3,0.03,0,0,0,1,2,0,0,3,0
'BatchJobQueue' dependency already enforced by a 'Ref' at 'Resources/EventPipe/Properties/Target',3,0.03,1,0,0,2,0,0,0,3,0
Additional properties are not allowed ('CloudWatchLoggingOptions' was unexpected),3,0.03,0,0,0,0,3,0,0,3,0
'SecretsManagerMonitoringTopic' dependency already enforced by a 'Ref' at 'Resources/SecretsManagerEventRule/Properties/Targets/0/Arn',3,0.03,0,0,0,3,0,0,0,3,0
'SecretsManagerMonitoringTopic' dependency already enforced by a 'Ref' at 'Resources/EmailSubscription/Properties/TopicArn',3,0.03,0,0,0,3,0,0,0,3,0
'Capabilities' is a required property,3,0.03,0,3,0,0,0,0,0,3,0
"'DefaultPrivateScopeId' is not one of ['IpamId', 'Arn', 'PublicDefaultScopeId', 'PrivateDefaultScopeId', 'ScopeCount', 'ResourceDiscoveryAssociationCount', 'DefaultResourceDiscoveryId', 'DefaultResourceDiscoveryAssociationId'] in ['us-east-1']",3,0.03,0,0,0,0,3,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [Stage, TableNameSuffix] must have values",3,0.03,0,0,0,0,3,0,3,0,0
"[{'Ref': 'AuroraDBInstance1'}, {'Ref': 'AuroraDBInstance2'}] is not of type 'string'",3,0.03,0,0,0,0,3,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VpcId, DBPasswordSecretArn, SubnetIds, DBUsername] must have values",3,0.03,0,0,0,0,3,0,3,0,0
Additional properties are not allowed ('Condition' was unexpected),3,0.03,0,0,1,2,0,0,0,3,0
'EmailApi' dependency already enforced by a 'Ref' at 'Resources/EmailModel/Properties/RestApiId',3,0.03,0,0,0,3,0,0,0,3,0
"{'Fn::Select': [0, {'Ref': 'SubnetIds'}]} is not a 'AWS::EC2::Subnet.Id' when 'Fn::Select' is resolved",3,0.03,0,0,0,0,1,2,0,3,0
"{'Fn::Select': [0, {'Ref': 'SubnetIds'}]} does not match '^subnet-[0-9a-f]{8,40}$' when 'Fn::Select' is resolved",3,0.03,0,0,0,0,1,2,0,3,0
Parameter InstanceType not used.,3,0.03,0,0,3,0,0,0,0,3,0
Line 189: syntax error: found character '`' that cannot start any token (syntax),3,0.03,0,0,0,0,3,0,0,0,3
Additional properties are not allowed ('AWSKeyManagementServiceKeyARN' was unexpected),3,0.03,0,0,3,0,0,0,0,3,0
'S3Bucket' dependency already enforced by a 'GetAtt' at 'Resources/FirehoseStream/Properties/S3DestinationConfiguration/BucketARN',3,0.03,0,3,0,0,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName, TopicName] must have values",3,0.03,0,0,0,3,0,0,3,0,0
'AWSKMSKeyARN' is a required property,3,0.03,0,0,3,0,0,0,0,3,0
"'KubernetesContainerImages' does not match '^(?=.{2,256}$)((?:[a-z0-9]+(?:[._-][a-z0-9]+)*/)*[a-z0-9]+(?:[._-][a-z0-9]+)*)$'",3,0.03,0,0,0,0,3,0,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ssm-secure:/rds/mysql/password:1] cannot be found.,3,0.03,0,0,3,0,0,0,3,0,0
Additional properties are not allowed ('BucketPolicy' was unexpected),3,0.03,0,0,3,0,0,0,0,3,0
'LambdaFunction' dependency already enforced by a 'GetAtt' at 'Resources/LambdaInvokePermission/Properties/FunctionName',3,0.03,0,0,3,0,0,0,0,3,0
Parameter AvailabilityZone3 not used.,3,0.03,0,0,0,0,3,0,0,3,0
Parameter TagsToInclude not used.,3,0.03,0,0,0,0,3,0,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ManagementAccountId] must have values,3,0.03,0,1,1,0,1,0,3,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [GitHubRepositoryName, GitHubOAuthToken, GitHubBranchName] must have values",3,0.03,0,0,0,0,3,0,3,0,0
'transformer' is not one of ['edi'],3,0.03,0,0,0,3,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [GitHubRepositoryOwner, GitHubRepositoryName, GitHubOAuthToken] must have values",3,0.03,0,0,0,0,3,0,3,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName, QueueName] must have values",3,0.03,0,0,0,3,0,0,3,0,0
'SQSQueue' dependency already enforced by a 'GetAtt' at 'Resources/SQSQueuePolicy/Properties/PolicyDocument/Statement/0/Resource',3,0.03,0,0,0,3,0,0,0,3,0
'OrganizationDataBucket' dependency already enforced by a 'Ref' at 'Resources/OrganizationDataCollectorFunction/Properties/Environment/Variables/S3_BUCKET',3,0.03,0,3,0,0,0,0,0,3,0
Resource type 'AWS::ApiGateway::Integration' does not exist in 'us-east-1',3,0.03,0,3,0,0,0,0,0,3,0
'Users' is a required property,3,0.03,0,0,0,0,3,0,0,3,0
'Roles' is a required property,3,0.03,0,0,0,0,3,0,0,3,0
'SQSQueue' dependency already enforced by a 'Ref' at 'Resources/SQSQueuePolicy/Properties/Queues/0',3,0.03,0,0,0,3,0,0,0,3,0
'LambdaExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/OrganizationDataCollectorFunction/Properties/Role',3,0.03,0,3,0,0,0,0,0,3,0
'ImageId' is a required property,3,0.03,0,0,0,0,3,0,0,3,0
'ApiKeyName' is a required property,3,0.03,0,2,0,1,0,0,0,3,0
mydbinstance already exists in stack arn:aws:cloudformation:us-east-1:644519422710:stack/validation-stack-4281ed5c/3deba170-208f-11f0-8d71-0affcc75497b,3,0.03,0,0,0,0,3,0,3,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BusinessContactEmail, OutputBucketName, InputBucketName, BusinessContactPhone, BusinessContactName] must have values",3,0.03,0,0,0,0,3,0,3,0,0
'ScreenshotQueue' dependency already enforced by a 'Ref' at 'Resources/LoadTestInstance/Properties/UserData/Fn::Base64',3,0.03,0,0,1,2,0,0,0,3,0
"['Fn::If', 2] is not reachable. When setting condition 'EnableServerLogging' to False from current status True",3,0.03,0,3,0,0,0,0,0,3,0
"Line 46: too many spaces inside brackets
Line 46: too many spaces inside brackets
Line 57: too many spaces inside brackets
Line 57: too many spaces inside brackets",3,0.03,0,0,0,0,3,0,0,0,3
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [DBMasterUserPasswordSecretArn] must have values,3,0.03,0,0,0,0,3,0,3,0,0
"Found an embedded parameter ""${AWS::Region}"" outside of an ""Fn::Sub"" at Resources/MyApiGatewayMethod/Properties/Integration/RequestParameters/integration.request.querystring.QueueUrl",3,0.03,0,0,0,0,3,0,0,3,0
"Found an embedded parameter ""${AWS::AccountId}"" outside of an ""Fn::Sub"" at Resources/MyApiGatewayMethod/Properties/Integration/RequestParameters/integration.request.querystring.QueueUrl",3,0.03,0,0,0,0,3,0,0,3,0
"Found an embedded parameter ""${MySQSQueue}"" outside of an ""Fn::Sub"" at Resources/MyApiGatewayMethod/Properties/Integration/RequestParameters/integration.request.querystring.QueueUrl",3,0.03,0,0,0,0,3,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [SecondaryAppEndpoint, PrimaryAppEndpoint] must have values",3,0.03,0,0,3,0,0,0,3,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [VPCFlowLogsLogGroupName] must have values,3,0.03,0,0,3,0,0,0,3,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [CodeS3Bucket, CodeS3Key] must have values",3,0.03,0,0,0,0,3,0,3,0,0
Mapping 'ELBAccountIds' is defined but not used,3,0.03,0,3,0,0,0,0,0,3,0
{'Ref': 'AWS::AccountId'} is not of type 'string',3,0.03,0,3,0,0,0,0,0,3,0
Parameter VPCId not used.,3,0.03,0,0,0,0,3,0,0,3,0
Additional properties are not allowed ('NoEcho' was unexpected),3,0.03,0,0,0,3,0,0,0,3,0
Parameter VpnEndpointIds not used.,3,0.03,0,3,0,0,0,0,0,3,0
Resources and Parameters must not share name: ProductionBranch,3,0.03,0,0,0,3,0,0,0,3,0
Circular Dependencies for resource ProductionBranch. Circular dependency with [ProductionBranch],3,0.03,0,0,0,3,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, DBPasswordParameter, VpcId, SubnetIds, DBUsername] must have values",3,0.03,0,0,0,0,3,0,3,0,0
Condition UseCurrentAccount not used,3,0.03,0,0,0,3,0,0,0,3,0
"Line 40: too many spaces inside brackets
Line 40: too many spaces inside brackets
Line 51: too many spaces inside brackets
Line 51: too many spaces inside brackets",3,0.03,0,0,0,0,3,0,0,0,3
Parameter validation failed: parameter value my-key-pair for parameter name KeyName does not exist. Delete requested by user.,3,0.03,0,0,0,0,3,0,3,0,0
'DBParameterGroup' dependency already enforced by a 'Ref' at 'Resources/RDSInstance/Properties/DBParameterGroupName',3,0.03,0,3,0,0,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId2, SubnetId1] must have values",3,0.03,0,3,0,0,0,0,3,0,0
Parameter FromEmail not used.,3,0.03,0,0,0,3,0,0,0,3,0
"Found an embedded parameter ""${StreamName}"" outside of an ""Fn::Sub"" at Resources/ApiGatewayMethodPutRecord/Properties/Integration/RequestTemplates/application/json",3,0.03,0,0,0,0,3,0,0,3,0
"'Arn' is not one of ['Id', 'TransitGatewayArn'] in ['us-east-1']",3,0.03,0,0,3,0,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId, AmiId] must have values",3,0.03,0,0,0,0,0,3,3,0,0
'InstanceSecurityGroup' dependency already enforced by a 'Ref' at 'Resources/MyEC2Instance/Properties/SecurityGroupIds/0',3,0.03,0,0,0,0,0,3,0,3,0
"{'ApiKey': {'Key': 'Authorization', 'Value': {'Fn::Sub': 'Bearer ${StripeApiKey}'}}} is not valid under any of the given schemas",3,0.03,0,3,0,0,0,0,0,3,0
Parameter EmailDomain not used.,3,0.03,3,0,0,0,0,0,0,3,0
"Parameter validation failed: parameter value vpc-00000000 for parameter name VpcId does not exist, parameter value subnet-00000000 for parameter name SubnetId does not exist. Delete requested by user.",3,0.03,0,0,0,1,0,2,3,0,0
'KeyPairLambda' dependency already enforced by a 'GetAtt' at 'Resources/EC2KeyPairCustomResource/Properties/ServiceToken',3,0.03,0,0,0,0,0,3,0,3,0
'EC2KeyPairCustomResource' dependency already enforced by a 'GetAtt' at 'Resources/EC2Instance/Properties/KeyName',3,0.03,0,0,0,0,0,3,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [EmailSender] must have values,3,0.03,0,3,0,0,0,0,3,0,0
"{'ApiKey': {'Key': 'X-Shopify-Access-Token', 'Value': {'Ref': 'ShopifyAdminAPIKey'}}} is not valid under any of the given schemas",3,0.03,0,3,0,0,0,0,0,3,0
"The set of Attributes in AttributeDefinitions: ['NotificationId', 'sentTime', 'ttl', 'type'] and KeySchemas: ['NotificationId', 'sentTime', 'type'] must match at Resources/MobileNotificationsTable/Properties",3,0.03,0,0,0,0,0,3,0,3,0
{'Fn::Sub': 'resolve:ssm:/aws/service/ami-amazon-linux-latest/amzn2-ami-hvm-x86_64-gp2'} is not a 'AWS::EC2::Image.Id' when 'Fn::Sub' is resolved,3,0.03,0,0,0,2,1,0,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [FallbackEmail] must have values,3,0.03,0,3,0,0,0,0,3,0,0
Additional properties are not allowed ('Description' was unexpected),3,0.03,0,0,0,1,2,0,0,3,0
'EC2ElasticIP' dependency already enforced by a 'GetAtt' at 'Resources/EIPAssociation/Properties/AllocationId',3,0.03,0,0,0,0,0,3,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ServiceRoleArn] must have values,3,0.03,0,0,3,0,0,0,3,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [ShopifyApiKey] must have values,3,0.03,3,0,0,0,0,0,3,0,0
'BatchSecurityGroup' dependency already enforced by a 'GetAtt' at 'Resources/ComputeEnvironment/Properties/ComputeResources/SecurityGroupIds/0',3,0.03,0,0,0,3,0,0,0,3,0
{'Fn::HasKeyPair': ''} is not of type 'string',3,0.03,0,0,0,3,0,0,0,3,0
"Found an embedded parameter ""${KinesisStreamName}"" outside of an ""Fn::Sub"" at Resources/BatchRecordsMethod/Properties/Integration/RequestTemplates/application/json",3,0.03,0,0,0,3,0,0,0,3,0
Parameter ShopifyShopName not used.,3,0.03,0,0,0,0,3,0,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [DataDogAPIKey] must have values,3,0.03,0,0,0,3,0,0,3,0,0
'Type' is a required property,3,0.03,0,2,1,0,0,0,0,3,0
Parameter KMSKeyId not used.,3,0.03,0,0,0,0,3,0,0,3,0
Line 36: syntax error: mapping values are not allowed here (syntax),3,0.03,0,0,0,0,3,0,0,0,3
Parameter FromEmailAddress not used.,3,0.03,0,0,0,0,3,0,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [FromEmailAddress] must have values,3,0.03,0,0,0,0,3,0,3,0,0
"Found an embedded parameter ""${AWS::AccountId}"" outside of an ""Fn::Sub"" at Parameters/LogBucketName/Default",3,0.03,0,0,0,3,0,0,0,3,0
"Found an embedded parameter ""${TableName}"" outside of an ""Fn::Sub"" at Resources/ApiGatewayMethodGet/Properties/Integration/RequestTemplates/application/json",3,0.03,0,0,0,0,3,0,0,3,0
"Found an embedded parameter ""${TableName}"" outside of an ""Fn::Sub"" at Resources/ApiGatewayMethodPost/Properties/Integration/RequestTemplates/application/json",3,0.03,0,0,0,0,3,0,0,3,0
"Found an embedded parameter ""${AWS::Region}"" outside of an ""Fn::Sub"" at Resources/EC2Instance2/Properties/UserData/Fn::Base64",3,0.03,0,0,0,0,3,0,0,3,0
"Found an embedded parameter ""${AWS::StackName}"" outside of an ""Fn::Sub"" at Resources/EC2Instance2/Properties/UserData/Fn::Base64",3,0.03,0,0,0,0,3,0,0,3,0
Resource type 'AWS::ApiGateway::MethodResponse' does not exist in 'us-east-1',3,0.03,0,3,0,0,0,0,0,3,0
"Found an embedded parameter ""${AWS::Region}"" outside of an ""Fn::Sub"" at Resources/EC2Instance1/Properties/UserData/Fn::Base64",3,0.03,0,0,0,0,3,0,0,3,0
"Found an embedded parameter ""${AWS::StackName}"" outside of an ""Fn::Sub"" at Resources/EC2Instance1/Properties/UserData/Fn::Base64",3,0.03,0,0,0,0,3,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [SecretUsername, StackNamespace] must have values",3,0.03,0,0,0,0,3,0,3,0,0
"'PrivateKey' is not one of ['KeyPairId', 'KeyFingerprint'] in ['us-east-1']",3,0.03,0,3,0,0,0,0,0,3,0
nginx-logs-644519422710-us-east-1 already exists in stack arn:aws:cloudformation:us-east-1:644519422710:stack/validation-stack-8c644367/77f80ec0-2b0d-11f0-8ea4-121b8922b559,3,0.03,0,0,0,3,0,0,3,0,0
Resources and Parameters must not share name: EmailSubscription,3,0.03,0,0,0,0,3,0,0,3,0
Circular Dependencies for resource EmailSubscription. Circular dependency with [EmailSubscription],3,0.03,0,0,0,0,3,0,0,3,0
'aws-cfn-bootstrap' is not of type 'array',3,0.03,0,0,0,0,0,3,0,3,0
'MinTTL' is a required property,3,0.03,0,0,0,3,0,0,0,3,0
"Parameter validation failed: parameter value my-key-pair for parameter name KeyName does not exist, parameter value vpc-12345678 for parameter name VpcId does not exist, parameter value subnet-12345678 for parameter name SubnetId does not exist. Delete requested by user.",3,0.03,0,0,1,0,2,0,3,0,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [PrivateSubnet1, PrivateSubnet2, VpcId] must have values",3,0.03,2,1,0,0,0,0,3,0,0
"Only one of ['CidrBlock', 'Ipv4IpamPoolId'] is a required property",3,0.03,0,1,0,0,2,0,0,3,0
Line 39: wrong indentation: expected 8 but found 10,3,0.03,0,0,0,3,0,0,0,0,3
"{'Fn::Sub': '${ApiEndpointUrl}/us/{zipcode}'} does not match ""^((%[0-9A-Fa-f]{2}|[-()_.!~*';/?:@\\x26=+$,A-Za-z0-9])+)([).!';/?:,])?$"" when 'Fn::Sub' is resolved",3,0.03,0,3,0,0,0,0,0,3,0
"Line 41: too many spaces inside brackets
Line 41: too many spaces inside brackets",3,0.03,0,0,0,0,2,1,0,0,3
"Parameter validation failed: parameter value vpc-12345678 for parameter name VpcId does not exist, parameter value subnet-12345678 for parameter name SubnetIds does not exist, parameter value subnet-87654321 for parameter name SubnetIds does not exist. Delete requested by user.",3,0.03,0,0,1,1,1,0,3,0,0
Resource type 'AWS::Events::Pipe' does not exist in 'us-east-1',3,0.03,0,0,0,0,3,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, PrivateSubnet1, PrivateSubnet2, VpcId, PublicSubnet2, PublicSubnet1] must have values",3,0.03,0,3,0,0,0,0,3,0,0
'Name' is not one of ['Arn'] in ['us-east-1'],3,0.03,0,0,0,1,1,1,0,3,0
Additional properties are not allowed ('TransformerId' was unexpected),3,0.03,0,3,0,0,0,0,0,3,0
"{'TransformerId': {'Ref': 'B2BITransformer'}, 'InputLocation': {'S3Location': {'BucketName': {'Ref': 'InputS3Bucket'}, 'Key': 'input/'}}, 'OutputLocation': {'S3Location': {'BucketName': {'Ref': 'OutputS3Bucket'}, 'Key': 'output/'}}} is not valid under any of the given schemas",3,0.03,0,3,0,0,0,0,0,3,0
'TRANSFORM' is not one of ['edi'],3,0.03,0,3,0,0,0,0,0,3,0
"'Arn' is not one of ['ConfigurationEndPoint.Address', 'PrimaryEndPoint.Address', 'PrimaryEndPoint.Port', 'ReaderEndPoint.Address', 'ConfigurationEndPoint.Port', 'ReaderEndPoint.Port', 'ReadEndPoint.Addresses', 'ReadEndPoint.Ports', 'ReplicationGroupId'] in ['us-east-1']",3,0.03,0,0,3,0,0,0,0,3,0
Additional properties are not allowed ('LoggingConfiguration' was unexpected),3,0.03,0,3,0,0,0,0,0,3,0
'ReplicationGroupDescription' is a required property,3,0.03,0,0,3,0,0,0,0,3,0
'DBSubnetGroup' dependency already enforced by a 'Ref' at 'Resources/RDSInstance/Properties/DBSubnetGroupName',3,0.03,0,3,0,0,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [HealthCheckEndpointSecondary, HealthCheckEndpointPrimary] must have values",3,0.03,0,0,0,0,3,0,3,0,0
'RDSSecurityGroup' dependency already enforced by a 'Ref' at 'Resources/RDSInstance/Properties/VPCSecurityGroups/0',3,0.03,0,3,0,0,0,0,0,3,0
"Found an embedded parameter ""${KinesisStreamName}"" outside of an ""Fn::Sub"" at Resources/RecordsMethod/Properties/Integration/RequestTemplates/application/json",3,0.03,0,0,0,3,0,0,0,3,0
"{'ApiKey': {'Key': 'DD-API-KEY', 'Value': {'Ref': 'DataDogApiKey'}}} is not valid under any of the given schemas",3,0.03,0,3,0,0,0,0,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [OwnerTagValue] must have values,3,0.03,3,0,0,0,0,0,3,0,0
'TransitGateway' dependency already enforced by a 'Ref' at 'Resources/RAMResourceShare/Properties/ResourceArns/0',3,0.03,0,0,0,3,0,0,0,3,0
'LambdaExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/PetLambdaFunction/Properties/Role',3,0.03,3,0,0,0,0,0,0,3,0
'FlowLogsBucket' dependency already enforced by a 'Ref' at 'Resources/FlowLogsBucketPolicy/Properties/PolicyDocument/Statement/1/Resource',3,0.03,0,0,0,3,0,0,0,3,0
Additional properties are not allowed ('IncludeGlobalResources' was unexpected. Did you mean 'IncludeGlobalResourceTypes'?),3,0.03,3,0,0,0,0,0,0,3,0
Circular Dependencies for resource TriggerFunctionPermission. Circular dependency with [TriggerFunction],3,0.03,3,0,0,0,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [PrivateSubnets, VpcId] must have values",3,0.03,0,3,0,0,0,0,3,0,0
"The set of Attributes in AttributeDefinitions: ['expiryDate', 'id'] and KeySchemas: ['id'] must match at Resources/SupporterProductTable/Properties",3,0.03,0,0,0,3,0,0,0,3,0
Circular Dependencies for resource ImageBucket. Circular dependency with [TriggerFunctionPermission],3,0.03,3,0,0,0,0,0,0,3,0
Line 56: wrong indentation: expected 8 but found 10,3,0.03,0,0,0,3,0,0,0,0,3
"Line 52: wrong indentation: expected 10 but found 8
Line 58: wrong indentation: expected 12 but found 10
Line 61: wrong indentation: expected 14 but found 12
Line 79: wrong indentation: expected 10 but found 8",3,0.03,0,0,0,3,0,0,0,0,3
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [SubnetId1, VpcId] must have values",3,0.03,0,3,0,0,0,0,3,0,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [AlertEmail] must have values,3,0.03,0,3,0,0,0,0,3,0,0
"Line 42: too many spaces inside brackets
Line 42: too many spaces inside brackets",3,0.03,0,0,0,0,1,2,0,0,3
"Found an embedded parameter ""${BucketName}"" outside of an ""Fn::Sub"" at Resources/CleanupLambda/Properties/Code/ZipFile",3,0.03,0,0,0,3,0,0,0,3,0
"Line 163: too many spaces inside braces
Line 163: too many spaces inside braces",3,0.03,0,0,0,3,0,0,0,0,3
'AlertSNSTopic' dependency already enforced by a 'Ref' at 'Resources/ImageRecognitionStateMachine/Properties/DefinitionString',3,0.03,0,3,0,0,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [BucketName, ServiceRoleARN] must have values",3,0.03,0,0,0,3,0,0,3,0,0
{'Fn::GetAZs': ''} is not of type 'string',3,0.03,0,0,1,0,2,0,0,3,0
Resources and Parameters must not share name: KMSKeyAlias,3,0.03,0,0,0,3,0,0,0,3,0
Circular Dependencies for resource MyENI. Circular dependency with [MyENI],3,0.03,0,0,0,0,3,0,0,3,0
'Status' is not one of ['Id'] in ['us-east-1'],3,0.03,0,0,0,3,0,0,0,3,0
'GlueExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/OrganizationDataCrawler/Properties/Role',3,0.03,0,3,0,0,0,0,0,3,0
Circular Dependencies for resource S3Bucket. Circular dependency with [LambdaFunction],3,0.03,0,0,0,3,0,0,0,3,0
'OrganizationDataBucket' dependency already enforced by a 'GetAtt' at 'Resources/OrganizationDataBucketPolicy/Properties/PolicyDocument/Statement/1/Resource',3,0.03,0,3,0,0,0,0,0,3,0
'LinuxLaunchTemplate' dependency already enforced by a 'Ref' at 'Resources/LinuxAutoScalingGroup/Properties/LaunchTemplate/LaunchTemplateId',3,0.03,0,0,0,0,0,3,0,3,0
'SSMInstanceProfile' dependency already enforced by a 'Ref' at 'Resources/LinuxLaunchTemplate/Properties/LaunchTemplateData/IamInstanceProfile/Name',3,0.03,0,0,0,0,0,3,0,3,0
'MusicApiUsagePlan' dependency already enforced by a 'Ref' at 'Resources/UsagePlanKey/Properties/UsagePlanId',3,0.03,0,0,3,0,0,0,0,3,0
'ApiDeployment' dependency already enforced by a 'Ref' at 'Resources/ProdStage/Properties/DeploymentId',3,0.03,0,0,3,0,0,0,0,3,0
'AuroraDBCluster' dependency already enforced by a 'Ref' at 'Resources/AuroraDBInstance1/Properties/DBClusterIdentifier',3,0.03,0,0,0,0,0,3,0,3,0
'AuroraDBCluster' dependency already enforced by a 'Ref' at 'Resources/AuroraDBInstance2/Properties/DBClusterIdentifier',3,0.03,0,0,0,0,0,3,0,3,0
'RoutingControlRegion1' dependency already enforced by a 'GetAtt' at 'Resources/SafetyRule/Properties/AssertionRule/AssertedControls/0',3,0.03,0,0,0,0,0,3,0,3,0
'DBCluster' dependency already enforced by a 'Ref' at 'Resources/DBInstance1/Properties/DBClusterIdentifier',3,0.03,2,1,0,0,0,0,0,3,0
"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [S3Bucket, S3ObjectKey] must have values",3,0.03,0,0,3,0,0,0,3,0,0
"Line 48: too many spaces inside brackets
Line 48: too many spaces inside brackets
Line 59: too many spaces inside brackets
Line 59: too many spaces inside brackets",3,0.03,0,0,0,0,0,3,0,0,3
'LambdaFunction' dependency already enforced by a 'GetAtt' at 'Resources/LambdaCloudWatchEventRule/Properties/Targets/0/Arn',3,0.03,0,0,0,0,0,3,0,3,0
'PublicSubnet1' dependency already enforced by a 'Ref' at 'Resources/NatGateway/Properties/SubnetId',3,0.03,1,0,2,0,0,0,0,3,0
'ApiDestinationConnection' dependency already enforced by a 'GetAtt' at 'Resources/ApiDestination/Properties/ConnectionArn',3,0.03,0,0,0,3,0,0,0,3,0
An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [RepositoryURL] must have values,3,0.03,0,0,0,0,0,3,3,0,0
'EfsFileSystem' dependency already enforced by a 'Ref' at 'Resources/EfsThroughputAlarm/Properties/Dimensions/0/Value',3,0.03,0,0,0,3,0,0,0,3,0
'PublicSubnet1' dependency already enforced by a 'Ref' at 'Resources/NatGateway1/Properties/SubnetId',3,0.03,0,0,0,0,0,3,0,3,0
'*' was expected when 'Fn::Sub' is resolved,3,0.03,1,2,0,0,0,0,0,3,0
"'5.7' is not one of ['5.7.44', '5.7.44-rds.20240408', '5.7.44-rds.20240529', '5.7.44-rds.20240808', '8.0.32', '8.0.33', '8.0.34', '8.0.35', '8.0.36', '8.0.37', '8.0.39', '8.0.40', '8.4.3']",3,0.03,0,0,0,3,0,0,0,3,0
'PublicSubnet2' dependency already enforced by a 'Ref' at 'Resources/NatGateway2/Properties/SubnetId',3,0.03,0,0,0,0,0,3,0,3,0
'CloudWatchAlarm_EFS_Throughput' does not match any of the regexes: '^[a-zA-Z0-9]+$',3,0.03,0,0,0,0,0,3,0,3,0
'SSMInstanceProfile' dependency already enforced by a 'Ref' at 'Resources/WindowsLaunchTemplate/Properties/LaunchTemplateData/IamInstanceProfile/Name',3,0.03,0,0,0,0,0,3,0,3,0
'PublicSubnet' dependency already enforced by a 'Ref' at 'Resources/LinuxAutoScalingGroup/Properties/VPCZoneIdentifier/0',3,0.03,0,0,0,0,0,3,0,3,0
Circular Dependencies for resource LambdaFunction. Circular dependency with [LambdaExecutionRole],3,0.03,0,0,0,3,0,0,0,3,0
'WindowsLaunchTemplate' dependency already enforced by a 'Ref' at 'Resources/WindowsAutoScalingGroup/Properties/LaunchTemplate/LaunchTemplateId',3,0.03,0,0,0,0,0,3,0,3,0
'RequestValidator' dependency already enforced by a 'Ref' at 'Resources/EmailMethod/Properties/RequestValidatorId',3,0.03,0,0,3,0,0,0,0,3,0
'RequestModel' dependency already enforced by a 'Ref' at 'Resources/EmailMethod/Properties/RequestModels/application/json',3,0.03,0,0,3,0,0,0,0,3,0
